Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,722743.559,4980851.691,18T,,0000.0000,0000.0000
,,City (Small),,,,720171.335,4979628.163,18T,,0000.0000,0000.0000
,,City (Small),,,,721478.445,4980663.152,18T,,0000.0000,0000.0000
,,City (Small),,,,723125.077,4981009.583,18T,,0000.0000,0000.0000
,,City (Small),,,,720504.565,4980273.589,18T,,0000.0000,0000.0000
,,City (Small),,,,720613.932,4980766.725,18T,,0000.0000,0000.0000
,,City (Small),,,,720078.180,4979580.469,18T,,0000.0000,0000.0000
,,City (Small),,,,720477.909,4979672.090,18T,,0000.0000,0000.0000
,,City (Small),,,,721154.787,4980429.509,18T,,0000.0000,0000.0000
,,City (Small),,,,721217.902,4980431.692,18T,,0000.0000,0000.0000
,,City (Small),,,,721004.083,4979990.543,18T,,0000.0000,0000.0000
,,City (Small),,,,720368.146,4980335.617,18T,,0000.0000,0000.0000
,,City (Small),,,,720368.146,4980335.617,18T,,0000.0000,0000.0000
,,City (Small),,,,719470.580,4978870.043,18T,,0000.0000,0000.0000
,,City (Small),,,,719470.580,4978870.043,18T,,0000.0000,0000.0000
,,City (Small),,,,721932.009,4980111.656,18T,,0000.0000,0000.0000
,,City (Small),,,,721461.877,4979316.819,18T,,0000.0000,0000.0000
,,City (Small),,,,719993.927,4979733.276,18T,,0000.0000,0000.0000
,,City (Small),,,,720531.435,4981097.535,18T,,0000.0000,0000.0000
,,City (Small),,,,720531.435,4981097.535,18T,,0000.0000,0000.0000
,,City (Small),,,,712482.684,4981136.328,18T,,0000.0000,0000.0000
,,City (Small),,,,718861.633,4979349.654,18T,,0000.0000,0000.0000
,,City (Small),,,,716737.559,4985838.993,18T,,0000.0000,0000.0000
,,City (Small),,,,689212.865,4940547.263,18T,,0000.0000,0000.0000
,,City (Small),,,,703941.619,4986240.228,18T,,0000.0000,0000.0000
